['Tad-Dwieli,35|53/04@N,14|28/35@E,6314,Budistas Zen']
['Tad-Duluri,35|53/16@N,14|29/26@E,5296,Evangelicos']
["Ta' Gorgun,36|01/46@N,14|15/32@E,6796,Bahas", '(35|51/58@N-14|33/53@E) (35|53/39@N-14|25/38@E) (35|51/10@N-14|32/13@E) (35|53/12@N-14|27/57@E) (35|53/16@N-14|29/26@E)']
["Ta' Gokondu,35|55/21@N,14|28/20@E,5235,Bahas", '(35|50/08@N-14|26/30@E) (36|02/45@N-14|17/04@E) (35|53/57@N-14|29/40@E) (35|51/03@N-14|28/20@E) (35|53/04@N-14|28/35@E)']
["Ta' Giorni,35|54/48@N,14|29/11@E,1775,Testigos de Jeova", '(35|51/10@N-14|32/13@E) (35|53/12@N-14|27/57@E) (35|50/08@N-14|26/30@E) (35|51/03@N-14|28/20@E) (35|53/04@N-14|28/35@E)']
["Ta' Danieli,35|51/24@N,14|29/03@E,8266,Evangelicos", '(35|53/39@N-14|25/38@E) (35|50/08@N-14|26/30@E) (36|02/45@N-14|17/04@E) (35|53/16@N-14|29/26@E) (35|53/04@N-14|28/35@E)']
["Ta' Cikkun,35|54/42@N,14|29/00@E,5817,Evangelicos", '(35|52/30@N-14|31/17@E) (35|53/39@N-14|25/38@E) (35|50/08@N-14|26/30@E) (35|53/57@N-14|29/40@E) (35|51/25@N-14|29/22@E)']
["Ta' Ceppuna,35|52/25@N,14|29/37@E,5204,Budistas", '(36|02/19@N-14|15/11@E) (35|51/10@N-14|32/13@E) (35|53/12@N-14|27/57@E) (35|51/03@N-14|28/20@E) (35|53/16@N-14|29/26@E)']
["Ta' Cantar,35|52/11@N,14|32/12@E,5152,Catolicos", '(36|02/45@N-14|17/04@E) (35|53/57@N-14|29/40@E) (35|51/25@N-14|29/22@E) (35|51/03@N-14|28/20@E) (35|53/16@N-14|29/26@E)']
["Ta' Bullara,36|03/21@N,14|15/41@E,3687,Catolicos", '(36|02/45@N-14|17/04@E) (35|53/57@N-14|29/40@E) (35|51/25@N-14|29/22@E) (35|51/03@N-14|28/20@E) (35|53/16@N-14|29/26@E)']
["Ta' Brared,35|55/44@N,14|24/08@E,4986,Budistas Zen", '(35|52/01@N-14|30/31@E) (35|54/13@N-14|25/43@E) (35|53/57@N-14|29/40@E) (35|51/25@N-14|29/22@E) (35|53/04@N-14|28/35@E)']
['Victoria,36|02/40@N,14|14/23@E,2288,Bahas', '(35|52/01@N-14|30/31@E) (35|52/30@N-14|31/17@E) (35|51/10@N-14|32/13@E) (35|53/12@N-14|27/57@E) (35|53/16@N-14|29/26@E)']
['Valletta,35|53/59@N,14|30/53@E,9700,Budistas', '(35|52/30@N-14|31/17@E) (35|50/08@N-14|26/30@E) (35|53/57@N-14|29/40@E) (35|51/25@N-14|29/22@E) (35|53/04@N-14|28/35@E)']
['Taz-Zejt,35|54/21@N,14|28/12@E,6963,Catolicos', '(35|52/29@N-14|26/37@E) (35|52/30@N-14|31/17@E) (35|53/39@N-14|25/38@E) (35|53/12@N-14|27/57@E) (35|53/04@N-14|28/35@E)']
['Tas-Sienja,35|51/38@N,14|33/35@E,8604,Judios', '(35|51/58@N-14|33/53@E) (35|52/30@N-14|31/17@E) (35|53/39@N-14|25/38@E) (36|02/45@N-14|17/04@E) (35|53/04@N-14|28/35@E)']
['Tas-Santi,35|54/22@N,14|21/23@E,3203,Musulmanes', '(36|02/19@N-14|15/11@E) (35|52/29@N-14|26/37@E) (35|50/08@N-14|26/30@E) (35|51/25@N-14|29/22@E) (35|53/16@N-14|29/26@E)']
['Tas-Samra,35|53/04@N,14|29/25@E,4614,Musulmanes', '(35|52/30@N-14|31/17@E) (36|02/45@N-14|17/04@E) (35|51/03@N-14|28/20@E) (35|53/16@N-14|29/26@E) (35|53/04@N-14|28/35@E)']
['Tas-Salvatur,35|51/03@N,14|27/07@E,8122,Bahas', '(35|50/08@N-14|26/30@E) (35|53/57@N-14|29/40@E) (35|51/03@N-14|28/20@E) (35|53/16@N-14|29/26@E) (35|53/04@N-14|28/35@E)']
['Tas-Salib,35|53/45@N,14|28/02@E,1761,Budistas Zen', '(35|52/30@N-14|31/17@E) (35|53/39@N-14|25/38@E) (35|53/12@N-14|27/57@E) (35|51/25@N-14|29/22@E) (35|51/03@N-14|28/20@E)']
['Tarxien,35|51/57@N,14|30/54@E,5434,Budistas Zen', '(35|51/10@N-14|32/13@E) (36|02/45@N-14|17/04@E) (35|53/57@N-14|29/40@E) (35|51/25@N-14|29/22@E) (35|51/03@N-14|28/20@E)']
['Tal-Vecca,35|51/22@N,14|22/37@E,2080,Budistas', '(35|50/08@N-14|26/30@E) (36|02/45@N-14|17/04@E) (35|53/57@N-14|29/40@E) (35|51/25@N-14|29/22@E) (35|53/04@N-14|28/35@E)']
['Tal-Qtates,35|52/10@N,14|29/34@E,971,Catolicos', '(36|02/45@N-14|17/04@E) (35|53/57@N-14|29/40@E) (35|51/25@N-14|29/22@E) (35|53/16@N-14|29/26@E) (35|53/04@N-14|28/35@E)']
['Tal-Pitkal,35|51/36@N,14|22/14@E,6004,Budistas Zen', '(35|51/10@N-14|32/13@E) (35|53/12@N-14|27/57@E) (35|50/08@N-14|26/30@E) (35|53/57@N-14|29/40@E) (35|51/03@N-14|28/20@E)']
['Tal-Papa,35|49/04@N,14|31/22@E,6879,Testigos de Jeova', '(35|52/30@N-14|31/17@E) (35|51/10@N-14|32/13@E) (35|53/12@N-14|27/57@E) (35|51/25@N-14|29/22@E) (35|53/16@N-14|29/26@E)']
['Tal-Palazz l-Ahmar,35|53/19@N,14|28/21@E,2681,Budistas', '(35|53/12@N-14|27/57@E) (36|02/45@N-14|17/04@E) (35|51/03@N-14|28/20@E) (35|53/16@N-14|29/26@E) (35|53/04@N-14|28/35@E)']
['Tal-Munxar,35|50/58@N,14|33/44@E,1008,Judios', '(35|53/12@N-14|27/57@E) (35|53/57@N-14|29/40@E) (35|51/25@N-14|29/22@E) (35|51/03@N-14|28/20@E) (35|53/16@N-14|29/26@E)']
['Tal-Mirakli,35|53/46@N,14|26/09@E,2421,Testigos de Jeova', '(35|51/10@N-14|32/13@E) (35|53/12@N-14|27/57@E) (35|51/03@N-14|28/20@E) (35|53/16@N-14|29/26@E) (35|53/04@N-14|28/35@E)']
['Tal-Milord,35|55/37@N,14|23/54@E,3260,Musulmanes', '(35|51/58@N-14|33/53@E) (35|53/39@N-14|25/38@E) (35|53/12@N-14|27/57@E) (35|51/03@N-14|28/20@E) (35|53/04@N-14|28/35@E)']
